"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias"
100,5,"binary","binary",1,0,0,0,0,0,1,FALSE,0.032,0.029,0.017,0.029,0.016,0.027,0.017,0.029
200,5,"binary","binary",1,0,0,0,0,0,1,FALSE,0.013,-0.031,0.001,-0.031,0.001,-0.03,0.001,-0.031
100,20,"binary","binary",1,0,0,0,0,0,1,FALSE,0.092,0.09,0.087,0.088,0.089,0.09,0.088,0.09
200,20,"binary","binary",1,0,0,0,0,0,1,FALSE,0.015,0.002,0.012,0.002,0.013,0.002,0.012,0.002
100,5,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.056,-0.003,0.034,-0.004,0.034,-0.004,0.035,-0.003
200,5,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.012,-0.009,-0.001,-0.008,0,-0.009,0,-0.008
100,20,"continuous","binary",1,0,0,0,0,0,1,FALSE,-0.001,0,-0.004,0.001,-0.005,0,-0.005,0
200,20,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.03,0.021,0.027,0.021,0.028,0.021,0.028,0.021
100,5,"binary","continuous",1,0,0,0,0,0,1,FALSE,0,-0.018,0,-0.018,-0.001,-0.018,0,-0.018
200,5,"binary","continuous",1,0,0,0,0,0,1,FALSE,-0.004,-0.003,-0.004,-0.003,-0.004,-0.002,-0.004,-0.003
100,20,"binary","continuous",1,0,0,0,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003
200,20,"binary","continuous",1,0,0,0,0,0,1,FALSE,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
100,5,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.005,0,-0.005,0,-0.006,-0.001,-0.005,0
200,5,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001
100,20,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.002,-0.004,-0.002,-0.004,-0.002,-0.004,-0.002,-0.004
200,20,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.003,-0.002,-0.003,-0.002,-0.003,-0.002,-0.003,-0.002
100,5,"binary","binary",1,1,0,0,0,0,1,FALSE,0.008,-0.019,-0.007,-0.017,-0.005,-0.015,-0.007,-0.018
200,5,"binary","binary",1,1,0,0,0,0,1,FALSE,-0.004,-0.046,-0.016,-0.046,-0.015,-0.046,-0.015,-0.046
100,20,"binary","binary",1,1,0,0,0,0,1,FALSE,-0.027,-0.028,-0.031,-0.027,-0.031,-0.028,-0.031,-0.027
200,20,"binary","binary",1,1,0,0,0,0,1,FALSE,-0.027,-0.039,-0.03,-0.039,-0.03,-0.038,-0.03,-0.039
100,5,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.051,-0.019,0.032,-0.019,0.032,-0.02,0.031,-0.019
200,5,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.016,-0.007,-0.001,-0.007,0,-0.007,-0.001,-0.007
100,20,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.012,0.003,0.008,0.003,0.008,0.003,0.008,0.003
200,20,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.003,0.001,0,0.001,-0.001,0.001,-0.001,0
100,5,"binary","continuous",1,1,0,0,0,0,1,FALSE,0,-0.001,0,-0.001,0,-0.001,0,-0.001
200,5,"binary","continuous",1,1,0,0,0,0,1,FALSE,-0.008,-0.023,-0.008,-0.023,-0.008,-0.023,-0.008,-0.023
100,20,"binary","continuous",1,1,0,0,0,0,1,FALSE,0,-0.001,0,-0.001,0,-0.001,0,-0.001
200,20,"binary","continuous",1,1,0,0,0,0,1,FALSE,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001
100,5,"continuous","continuous",1,1,0,0,0,0,1,FALSE,0.003,-0.002,0.003,-0.002,0.003,-0.002,0.003,-0.002
200,5,"continuous","continuous",1,1,0,0,0,0,1,FALSE,0,-0.002,0,-0.002,0,-0.002,0,-0.002
100,20,"continuous","continuous",1,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0
200,20,"continuous","continuous",1,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0
100,5,"binary","binary",1,3,0,0,0,0,1,FALSE,0.052,0.016,0.036,0.015,0.037,0.015,0.036,0.014
200,5,"binary","binary",1,3,0,0,0,0,1,FALSE,-0.011,-0.032,-0.024,-0.031,-0.024,-0.032,-0.024,-0.031
100,20,"binary","binary",1,3,0,0,0,0,1,FALSE,-0.003,-0.001,-0.006,-0.001,-0.006,0,-0.006,-0.001
200,20,"binary","binary",1,3,0,0,0,0,1,FALSE,0.005,-0.016,0.002,-0.016,0.002,-0.015,0.002,-0.015
100,5,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.066,0.016,0.037,0.015,0.038,0.016,0.037,0.016
200,5,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.025,0.006,0.009,0.006,0.009,0.006,0.008,0.006
100,20,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.004,0.004,0,0.005,0,0.005,0,0.004
200,20,"continuous","binary",1,3,0,0,0,0,1,FALSE,0.008,0.004,0.002,0.003,0.003,0.004,0.003,0.003
100,5,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.007,0.018,0.007,0.018,0.007,0.017,0.007,0.018
200,5,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.005,-0.003,0.005,-0.003,0.006,-0.003,0.005,-0.003
100,20,"binary","continuous",1,3,0,0,0,0,1,FALSE,0.002,-0.003,0.002,-0.003,0.002,-0.003,0.002,-0.003
200,20,"binary","continuous",1,3,0,0,0,0,1,FALSE,0,-0.008,0,-0.008,0,-0.008,0,-0.008
100,5,"continuous","continuous",1,3,0,0,0,0,1,FALSE,-0.003,-0.006,-0.003,-0.006,-0.003,-0.006,-0.003,-0.006
200,5,"continuous","continuous",1,3,0,0,0,0,1,FALSE,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001
100,20,"continuous","continuous",1,3,0,0,0,0,1,FALSE,0,-0.001,0,-0.001,0,-0.001,0,-0.001
200,20,"continuous","continuous",1,3,0,0,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
100,5,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.394,-0.387,-0.419,-0.394,-0.42,-0.395,-0.42,-0.395
200,5,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.467,-0.466,-0.487,-0.471,-0.487,-0.47,-0.486,-0.471
100,20,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.165,-0.176,-0.173,-0.18,-0.173,-0.179,-0.173,-0.179
200,20,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.181,-0.181,-0.189,-0.184,-0.189,-0.184,-0.189,-0.184
100,5,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.086,-0.125,-0.173,-0.157,-0.172,-0.158,-0.173,-0.159
200,5,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.167,-0.182,-0.235,-0.208,-0.234,-0.207,-0.235,-0.207
100,20,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.028,-0.033,-0.05,-0.042,-0.049,-0.041,-0.049,-0.041
200,20,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.044,-0.041,-0.062,-0.049,-0.062,-0.048,-0.062,-0.048
100,5,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.496,-0.512,-0.496,-0.512,-0.496,-0.512,-0.496,-0.512
200,5,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.495,-0.48,-0.495,-0.48,-0.495,-0.479,-0.495,-0.48
100,20,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.215,-0.216,-0.215,-0.216,-0.215,-0.216,-0.215,-0.216
200,20,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
100,5,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.165,-0.168,-0.165,-0.168,-0.165,-0.168,-0.165,-0.168
200,5,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.173,-0.17,-0.173,-0.17,-0.173,-0.169,-0.173,-0.17
100,20,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.043,-0.047,-0.043,-0.047,-0.043,-0.047,-0.043,-0.047
200,20,"continuous","continuous",1,1,0,1,0,0,1,FALSE,-0.051,-0.05,-0.051,-0.05,-0.051,-0.05,-0.051,-0.05
100,5,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.124,-0.166,-0.148,-0.174,-0.148,-0.171,-0.149,-0.175
200,5,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.113,-0.119,-0.137,-0.131,-0.137,-0.132,-0.137,-0.131
100,20,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.069,-0.078,-0.077,-0.081,-0.076,-0.081,-0.076,-0.081
200,20,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.047,-0.041,-0.054,-0.045,-0.054,-0.045,-0.054,-0.045
100,5,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.158,0.005,0.031,-0.042,0.029,-0.04,0.024,-0.043
200,5,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.038,-0.003,-0.045,-0.034,-0.044,-0.034,-0.044,-0.033
100,20,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.014,-0.011,-0.009,-0.02,-0.008,-0.019,-0.008,-0.019
200,20,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.022,0.015,-0.002,0.005,-0.002,0.004,-0.002,0.004
100,5,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.109,-0.11,-0.109,-0.11,-0.11,-0.11,-0.109,-0.11
200,5,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.141,-0.144,-0.141,-0.144,-0.141,-0.144,-0.141,-0.144
100,20,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.046,-0.048,-0.046,-0.048,-0.046,-0.048,-0.046,-0.048
200,20,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.053,-0.06,-0.053,-0.06,-0.053,-0.06,-0.053,-0.06
100,5,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.025,-0.021,-0.025,-0.021,-0.024,-0.02,-0.025,-0.021
200,5,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.021,-0.023,-0.021,-0.023,-0.021,-0.023,-0.021,-0.023
100,20,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006
200,20,"continuous","continuous",1,3,0,1,0,0,1,FALSE,-0.008,-0.006,-0.008,-0.006,-0.008,-0.006,-0.008,-0.006
100,5,"binary","binary",1,0,0,0,1,0,1,FALSE,-0.085,-0.092,-0.295,-0.081,-0.295,-0.083,-0.296,-0.082
200,5,"binary","binary",1,0,0,0,1,0,1,FALSE,0.05,0.037,-0.19,0.031,-0.189,0.03,-0.192,0.03
100,20,"binary","binary",1,0,0,0,1,0,1,FALSE,-0.201,-0.208,-0.4,-0.168,-0.404,-0.171,-0.4,-0.168
200,20,"binary","binary",1,0,0,0,1,0,1,FALSE,-0.041,-0.04,-0.265,-0.023,-0.264,-0.021,-0.266,-0.023
100,5,"continuous","binary",1,0,0,0,1,0,1,FALSE,0.008,-0.007,-0.222,-0.004,-0.217,-0.001,-0.219,-0.001
200,5,"continuous","binary",1,0,0,0,1,0,1,FALSE,-0.04,-0.012,-0.241,-0.013,-0.24,-0.01,-0.238,-0.009
100,20,"continuous","binary",1,0,0,0,1,0,1,FALSE,-0.061,-0.069,-0.286,-0.07,-0.274,-0.057,-0.268,-0.052
200,20,"continuous","binary",1,0,0,0,1,0,1,FALSE,0.028,0.038,-0.214,0.022,-0.205,0.03,-0.203,0.032
100,5,"binary","continuous",1,0,0,0,1,0,1,FALSE,0.051,0.053,0.051,0.053,0.04,0.033,0.051,0.053
200,5,"binary","continuous",1,0,0,0,1,0,1,FALSE,0.024,0.027,0.024,0.027,0.015,0.021,0.024,0.027
100,20,"binary","continuous",1,0,0,0,1,0,1,FALSE,0.076,0.084,0.076,0.084,0.101,0.109,0.076,0.084
200,20,"binary","continuous",1,0,0,0,1,0,1,FALSE,-0.041,-0.045,-0.041,-0.045,-0.02,-0.027,-0.041,-0.045
100,5,"continuous","continuous",1,0,0,0,1,0,1,FALSE,-0.022,-0.017,-0.022,-0.017,-0.029,-0.024,-0.022,-0.017
200,5,"continuous","continuous",1,0,0,0,1,0,1,FALSE,0.009,0.009,0.009,0.009,0.016,0.015,0.009,0.009
100,20,"continuous","continuous",1,0,0,0,1,0,1,FALSE,-0.082,-0.082,-0.082,-0.082,-0.097,-0.098,-0.082,-0.082
200,20,"continuous","continuous",1,0,0,0,1,0,1,FALSE,0.006,0.005,0.006,0.005,0.023,0.024,0.006,0.005
100,5,"binary","binary",1,1,0,0,1,0,1,FALSE,0.155,0.166,-0.097,0.136,-0.1,0.136,-0.097,0.137
200,5,"binary","binary",1,1,0,0,1,0,1,FALSE,-0.05,-0.065,-0.258,-0.047,-0.262,-0.052,-0.259,-0.047
100,20,"binary","binary",1,1,0,0,1,0,1,FALSE,0.074,0.06,-0.174,0.055,-0.177,0.055,-0.177,0.052
200,20,"binary","binary",1,1,0,0,1,0,1,FALSE,-0.024,-0.026,-0.255,-0.016,-0.257,-0.019,-0.256,-0.017
100,5,"continuous","binary",1,1,0,0,1,0,1,FALSE,-0.009,0.013,-0.221,0.004,-0.219,0.005,-0.214,0.009
200,5,"continuous","binary",1,1,0,0,1,0,1,FALSE,-0.018,0.003,-0.231,0,-0.23,0.002,-0.228,0.003
100,20,"continuous","binary",1,1,0,0,1,0,1,FALSE,-0.008,-0.02,-0.234,-0.028,-0.227,-0.019,-0.224,-0.019
200,20,"continuous","binary",1,1,0,0,1,0,1,FALSE,-0.015,-0.019,-0.242,-0.027,-0.23,-0.018,-0.227,-0.015
100,5,"binary","continuous",1,1,0,0,1,0,1,FALSE,0.03,0.014,0.03,0.014,0.033,0.023,0.03,0.014
200,5,"binary","continuous",1,1,0,0,1,0,1,FALSE,0.004,-0.003,0.004,-0.003,0.004,-0.008,0.004,-0.003
100,20,"binary","continuous",1,1,0,0,1,0,1,FALSE,0.081,0.087,0.081,0.087,0.068,0.071,0.081,0.087
200,20,"binary","continuous",1,1,0,0,1,0,1,FALSE,0.019,0.026,0.019,0.026,0.016,0.018,0.019,0.026
100,5,"continuous","continuous",1,1,0,0,1,0,1,FALSE,0.01,0.009,0.01,0.009,0.012,0.008,0.01,0.009
200,5,"continuous","continuous",1,1,0,0,1,0,1,FALSE,-0.01,-0.01,-0.01,-0.01,-0.011,-0.007,-0.01,-0.01
100,20,"continuous","continuous",1,1,0,0,1,0,1,FALSE,0.019,0.021,0.019,0.021,0.024,0.027,0.019,0.021
200,20,"continuous","continuous",1,1,0,0,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,0.001,-0.001,-0.001,-0.001
100,5,"binary","binary",1,3,0,0,1,0,1,FALSE,-0.017,-0.007,-0.245,-0.014,-0.25,-0.018,-0.245,-0.014
200,5,"binary","binary",1,3,0,0,1,0,1,FALSE,-0.031,0.033,-0.252,0.03,-0.253,0.028,-0.253,0.03
100,20,"binary","binary",1,3,0,0,1,0,1,FALSE,0.017,-0.003,-0.22,0.008,-0.221,0.004,-0.223,0.007
200,20,"binary","binary",1,3,0,0,1,0,1,FALSE,-0.044,-0.057,-0.277,-0.049,-0.278,-0.053,-0.277,-0.051
100,5,"continuous","binary",1,3,0,0,1,0,1,FALSE,0.028,-0.007,-0.174,-0.007,-0.173,-0.005,-0.174,-0.01
200,5,"continuous","binary",1,3,0,0,1,0,1,FALSE,0.011,0.026,-0.179,0.022,-0.177,0.022,-0.176,0.022
100,20,"continuous","binary",1,3,0,0,1,0,1,FALSE,-0.002,-0.007,-0.211,-0.008,-0.202,-0.003,-0.2,-0.003
200,20,"continuous","binary",1,3,0,0,1,0,1,FALSE,0.009,0.008,-0.199,0,-0.191,0.003,-0.189,0.004
100,5,"binary","continuous",1,3,0,0,1,0,1,FALSE,-0.019,-0.027,-0.019,-0.027,-0.018,-0.025,-0.019,-0.027
200,5,"binary","continuous",1,3,0,0,1,0,1,FALSE,-0.001,-0.005,-0.001,-0.005,-0.005,-0.015,-0.001,-0.005
100,20,"binary","continuous",1,3,0,0,1,0,1,FALSE,0.013,0.015,0.013,0.015,0.018,0.019,0.013,0.015
200,20,"binary","continuous",1,3,0,0,1,0,1,FALSE,0,-0.008,0,-0.008,0.015,0.005,0,-0.008
100,5,"continuous","continuous",1,3,0,0,1,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002
200,5,"continuous","continuous",1,3,0,0,1,0,1,FALSE,-0.002,-0.006,-0.002,-0.006,-0.003,-0.007,-0.002,-0.006
100,20,"continuous","continuous",1,3,0,0,1,0,1,FALSE,0.003,-0.001,0.003,-0.001,0.004,-0.001,0.003,-0.001
200,20,"continuous","continuous",1,3,0,0,1,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.002,-0.001,-0.003,-0.003
100,5,"binary","binary",1,1,0,1,1,0,1,FALSE,-0.544,-0.538,-0.834,-0.612,-0.836,-0.603,-0.837,-0.617
200,5,"binary","binary",1,1,0,1,1,0,1,FALSE,-0.517,-0.528,-0.803,-0.602,-0.803,-0.612,-0.804,-0.603
100,20,"binary","binary",1,1,0,1,1,0,1,FALSE,-0.257,-0.25,-0.599,-0.368,-0.593,-0.366,-0.595,-0.365
200,20,"binary","binary",1,1,0,1,1,0,1,FALSE,-0.217,-0.214,-0.551,-0.329,-0.555,-0.331,-0.555,-0.332
100,5,"continuous","binary",1,1,0,1,1,0,1,FALSE,-0.124,-0.167,-0.502,-0.303,-0.5,-0.3,-0.498,-0.3
200,5,"continuous","binary",1,1,0,1,1,0,1,FALSE,-0.131,-0.144,-0.503,-0.282,-0.5,-0.278,-0.496,-0.275
100,20,"continuous","binary",1,1,0,1,1,0,1,FALSE,-0.031,-0.024,-0.411,-0.185,-0.389,-0.168,-0.383,-0.163
200,20,"continuous","binary",1,1,0,1,1,0,1,FALSE,-0.056,-0.054,-0.421,-0.204,-0.403,-0.19,-0.4,-0.187
100,5,"binary","continuous",1,1,0,1,1,0,1,FALSE,-0.469,-0.468,-0.469,-0.468,-0.486,-0.492,-0.469,-0.468
200,5,"binary","continuous",1,1,0,1,1,0,1,FALSE,-0.542,-0.543,-0.542,-0.543,-0.551,-0.548,-0.542,-0.543
100,20,"binary","continuous",1,1,0,1,1,0,1,FALSE,-0.18,-0.173,-0.18,-0.173,-0.152,-0.142,-0.18,-0.173
200,20,"binary","continuous",1,1,0,1,1,0,1,FALSE,-0.202,-0.202,-0.202,-0.202,-0.217,-0.218,-0.202,-0.202
100,5,"continuous","continuous",1,1,0,1,1,0,1,FALSE,-0.173,-0.177,-0.173,-0.177,-0.171,-0.175,-0.173,-0.177
200,5,"continuous","continuous",1,1,0,1,1,0,1,FALSE,-0.164,-0.167,-0.164,-0.167,-0.161,-0.165,-0.164,-0.167
100,20,"continuous","continuous",1,1,0,1,1,0,1,FALSE,-0.04,-0.043,-0.04,-0.043,-0.04,-0.043,-0.04,-0.043
200,20,"continuous","continuous",1,1,0,1,1,0,1,FALSE,-0.05,-0.047,-0.05,-0.047,-0.054,-0.052,-0.05,-0.047
100,5,"binary","binary",1,3,0,1,1,0,1,FALSE,-0.128,-0.131,-0.466,-0.255,-0.463,-0.264,-0.467,-0.256
200,5,"binary","binary",1,3,0,1,1,0,1,FALSE,-0.183,-0.177,-0.519,-0.299,-0.517,-0.291,-0.519,-0.298
100,20,"binary","binary",1,3,0,1,1,0,1,FALSE,-0.067,-0.058,-0.43,-0.203,-0.424,-0.2,-0.421,-0.198
200,20,"binary","binary",1,3,0,1,1,0,1,FALSE,-0.067,-0.079,-0.431,-0.222,-0.428,-0.221,-0.428,-0.223
100,5,"continuous","binary",1,3,0,1,1,0,1,FALSE,0.094,0.062,-0.325,-0.11,4699353095087.35,1911605362382.57,-0.328,-0.116
200,5,"continuous","binary",1,3,0,1,1,0,1,FALSE,0.073,0.012,-0.337,-0.152,-0.337,-0.154,-0.334,-0.152
100,20,"continuous","binary",1,3,0,1,1,0,1,FALSE,0.029,0.007,-0.294,-0.121,-0.282,-0.114,-0.279,-0.112
200,20,"continuous","binary",1,3,0,1,1,0,1,FALSE,0.024,-0.001,-0.323,-0.139,-0.31,-0.129,-0.307,-0.128
100,5,"binary","continuous",1,3,0,1,1,0,1,FALSE,-0.118,-0.153,-0.118,-0.153,-0.123,-0.161,-0.118,-0.153
200,5,"binary","continuous",1,3,0,1,1,0,1,FALSE,-0.115,-0.096,-0.115,-0.096,-0.109,-0.085,-0.115,-0.096
100,20,"binary","continuous",1,3,0,1,1,0,1,FALSE,-0.019,-0.019,-0.019,-0.019,-0.018,-0.017,-0.019,-0.019
200,20,"binary","continuous",1,3,0,1,1,0,1,FALSE,-0.001,-0.003,-0.001,-0.003,0.001,0.002,-0.001,-0.003
100,5,"continuous","continuous",1,3,0,1,1,0,1,FALSE,-0.019,-0.019,-0.019,-0.019,-0.019,-0.021,-0.019,-0.019
200,5,"continuous","continuous",1,3,0,1,1,0,1,FALSE,-0.019,-0.02,-0.019,-0.02,-0.02,-0.024,-0.019,-0.02
100,20,"continuous","continuous",1,3,0,1,1,0,1,FALSE,-0.009,-0.01,-0.009,-0.01,-0.011,-0.01,-0.009,-0.01
200,20,"continuous","continuous",1,3,0,1,1,0,1,FALSE,-0.001,0.002,-0.001,0.002,0,0.002,-0.001,0.002
