"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","binary",1,0,0,0,1.5,0,0,1,TRUE,0.006,0.006,NA,0.006,NA,-0.011,NA,NA,NA,NA,-0.008,NA,NA,NA,NA,-0.009,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","binary",1,0,0,0,1.5,0,0,1,TRUE,0.038,0.038,NA,0.038,NA,0.025,NA,NA,NA,NA,0.025,NA,NA,NA,NA,0.025,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","binary",1,0,0,0,1.5,0,0,1,TRUE,0.006,0.006,NA,0.006,NA,0.002,NA,NA,NA,NA,0.002,NA,NA,NA,NA,0.002,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","binary",1,0,0,0,1.5,0,0,1,TRUE,0.013,0.013,NA,0.013,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","binary",1,0,0,0,1.5,0,0,1,TRUE,0.055,0.055,NA,0.055,NA,0.032,NA,NA,NA,NA,0.033,NA,NA,NA,NA,0.033,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","binary",1,0,0,0,1.5,0,0,1,TRUE,0.019,0.019,NA,0.019,NA,0.005,NA,NA,NA,NA,0.005,NA,NA,NA,NA,0.005,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","binary",1,0,0,0,1.5,0,0,1,TRUE,-0.001,-0.001,NA,-0.001,NA,-0.006,NA,NA,NA,NA,-0.005,NA,NA,NA,NA,-0.006,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","binary",1,0,0,0,1.5,0,0,1,TRUE,0.01,0.01,NA,0.01,NA,0.007,NA,NA,NA,NA,0.007,NA,NA,NA,NA,0.007,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","continuous",1,0,0,0,1.5,0,0,1,TRUE,0.015,0.015,NA,0.015,NA,0.014,NA,NA,NA,NA,0.014,NA,NA,NA,NA,0.014,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","continuous",1,0,0,0,1.5,0,0,1,TRUE,-0.001,-0.001,NA,-0.001,NA,-0.001,NA,NA,NA,NA,-0.002,NA,NA,NA,NA,-0.002,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","continuous",1,0,0,0,1.5,0,0,1,TRUE,0.001,0.001,NA,0.001,NA,0.001,NA,NA,NA,NA,0.001,NA,NA,NA,NA,0.001,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","continuous",1,0,0,0,1.5,0,0,1,TRUE,-0.001,-0.001,NA,-0.001,NA,-0.001,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,TRUE,-0.006,-0.006,NA,-0.006,NA,-0.006,NA,NA,NA,NA,-0.006,NA,NA,NA,NA,-0.006,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,TRUE,-0.002,-0.002,NA,-0.002,NA,-0.001,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,TRUE,0.001,0.001,NA,0.001,NA,0.001,NA,NA,NA,NA,0.001,NA,NA,NA,NA,0.001,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,TRUE,-0.001,-0.001,NA,-0.001,NA,-0.001,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,-0.001,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","binary",1,1,0,0,1.5,0,0,1,TRUE,0.042,0.021,0.013,0.021,-0.009,0.01,0.006,-0.003,0.006,-0.009,0.009,0.005,-0.001,0.005,-0.006,0.009,0.005,-0.002,0.005,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,0,1.5,0,0,1,TRUE,0.069,0.043,-0.054,0.043,-0.098,0.041,0.033,-0.065,0.033,-0.097,0.042,0.032,-0.065,0.032,-0.097,0.041,0.033,-0.065,0.033,-0.097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,0,1.5,0,0,1,TRUE,0.026,0.002,-0.033,0.002,-0.035,0.001,-0.002,-0.038,-0.002,-0.035,0.006,-0.002,-0.038,-0.002,-0.036,0.006,-0.003,-0.038,-0.003,-0.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,0,1.5,0,0,1,TRUE,0.039,0.012,-0.036,0.012,-0.048,0.013,0.009,-0.039,0.009,-0.048,0.016,0.008,-0.039,0.008,-0.047,0.018,0.009,-0.039,0.009,-0.048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,0,1.5,0,0,1,TRUE,0.029,0.064,0.054,0.064,-0.01,-0.388,0.044,0.035,0.044,-0.009,-0.392,0.045,0.034,0.045,-0.011,-0.398,0.043,0.034,0.043,-0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,0,1.5,0,0,1,TRUE,-0.004,0.017,0.021,0.017,0.004,-0.412,0,0.004,0,0.003,-0.411,0,0.004,0,0.004,-0.414,0,0.004,0,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,0,1.5,0,0,1,TRUE,0.003,0.006,0.014,0.006,0.008,-0.406,0.002,0.01,0.002,0.008,-0.41,0.002,0.01,0.002,0.008,-0.408,0.003,0.01,0.003,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,0,1.5,0,0,1,TRUE,-0.001,0.002,0.003,0.002,0.001,-0.413,-0.001,0,-0.001,0.001,-0.41,-0.001,0,-0.001,0.001,-0.412,-0.001,0,-0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,1.5,0,0,1,TRUE,-0.004,-0.006,0.032,-0.006,0.038,-0.004,-0.007,0.032,-0.007,0.039,-0.004,-0.006,0.032,-0.006,0.038,-0.005,-0.006,0.032,-0.006,0.038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,1.5,0,0,1,TRUE,0.009,0.006,0.009,0.006,0.002,0.009,0.006,0.009,0.006,0.003,0.008,0.006,0.009,0.006,0.003,0.008,0.006,0.009,0.006,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,1.5,0,0,1,TRUE,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0,0.002,0,0.002,0.001,0.001,0.002,0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,1.5,0,0,1,TRUE,-0.005,-0.005,-0.001,-0.005,0.004,-0.005,-0.005,-0.001,-0.005,0.004,-0.006,-0.005,-0.001,-0.005,0.004,-0.005,-0.005,-0.001,-0.005,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,0,1.5,0,0,1,TRUE,0.004,0.005,0.002,0.005,-0.003,0.004,0.006,0.002,0.006,-0.003,0.009,0.006,0.003,0.006,-0.003,-0.008,0.005,0.002,0.005,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,0,1.5,0,0,1,TRUE,0.003,0.003,-0.001,0.003,-0.004,0.003,0.003,-0.001,0.003,-0.004,0.004,0.003,-0.001,0.003,-0.004,0.007,0.003,-0.001,0.003,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,0,1.5,0,0,1,TRUE,0,0,0,0,-0.001,0,0,0,0,-0.001,0.003,0,0,0,-0.001,-0.003,0,0,0,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,0,1.5,0,0,1,TRUE,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,-0.001,0.004,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,1.5,0,0,1,TRUE,0.101,0.024,0.07,0.024,0.046,0.011,0.009,0.054,0.009,0.044,0.015,0.007,0.055,0.007,0.048,0.02,0.009,0.054,0.009,0.045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,1.5,0,0,1,TRUE,0.083,0.004,-0.003,0.004,-0.007,-0.004,-0.009,-0.015,-0.009,-0.007,-0.001,-0.009,-0.016,-0.009,-0.007,0.004,-0.009,-0.015,-0.009,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,0,1.5,0,0,1,TRUE,0.06,-0.001,-0.003,-0.001,-0.002,-0.01,-0.004,-0.006,-0.004,-0.002,0.007,-0.005,-0.006,-0.005,-0.001,0.012,-0.004,-0.006,-0.004,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,0,1.5,0,0,1,TRUE,0.08,0.017,0.006,0.017,-0.011,0.006,0.014,0.004,0.014,-0.011,0.022,0.014,0.003,0.014,-0.01,0.027,0.014,0.004,0.014,-0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,0,1.5,0,0,1,TRUE,-0.089,0.046,0.067,0.046,0.02,-1.002,0.018,0.037,0.018,0.019,-0.988,0.018,0.038,0.018,0.02,-1.015,0.017,0.037,0.017,0.021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,0,1.5,0,0,1,TRUE,-0.084,0.019,0.025,0.019,0.005,-0.997,0.003,0.008,0.003,0.005,-0.996,0.003,0.008,0.003,0.005,-0.988,0.002,0.008,0.002,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,0,1.5,0,0,1,TRUE,-0.024,0,0.004,0,0.004,-0.99,-0.004,0.001,-0.004,0.004,77271813571165.9,-0.004,0,-0.004,0.004,-0.984,-0.004,0,-0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,0,1.5,0,0,1,TRUE,-0.017,0.005,0.008,0.005,0.003,-1.002,0,0.002,0,0.002,39832794650350.1,0,0.002,0,0.002,-1.001,0,0.002,0,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,0,1.5,0,0,1,TRUE,-0.006,-0.008,0.01,-0.008,0.018,-0.006,-0.009,0.01,-0.009,0.018,-0.002,-0.007,0.01,-0.007,0.017,0,-0.008,0.01,-0.008,0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,0,1.5,0,0,1,TRUE,0.004,0.001,0.011,0.001,0.01,0.004,0.001,0.011,0.001,0.01,-0.002,0.001,0.011,0.001,0.01,-0.002,0.001,0.011,0.001,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,0,1.5,0,0,1,TRUE,0.006,0.01,-0.001,0.01,-0.011,0.006,0.01,-0.001,0.01,-0.011,0.006,0.01,-0.001,0.01,-0.011,0.011,0.01,-0.001,0.01,-0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,0,1.5,0,0,1,TRUE,0.009,0.008,0.001,0.008,-0.007,0.009,0.008,0.001,0.008,-0.007,0.008,0.008,0.001,0.008,-0.007,0.012,0.008,0.001,0.008,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,TRUE,0.003,0.003,-0.003,0.003,-0.005,0.003,0.003,-0.003,0.003,-0.005,0.002,0.003,-0.003,0.003,-0.005,-0.001,0.003,-0.003,0.003,-0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,TRUE,0.002,0.002,0.001,0.002,-0.001,0.002,0.001,0.001,0.001,0,0,0.002,0.001,0.002,-0.001,0.001,0.002,0.001,0.002,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,TRUE,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,TRUE,0,0,-0.001,0,-0.001,0,0,-0.001,0,-0.001,0.001,0,-0.001,0,-0.001,0.006,0,-0.001,0,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1,1.5,0,0,1,TRUE,-0.003,0.003,0.156,0.003,0.153,-0.073,-0.01,0.13,-0.01,0.14,-0.069,-0.012,0.126,-0.012,0.139,-0.071,-0.013,0.127,-0.013,0.141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1,1.5,0,0,1,TRUE,0.016,0.011,-0.011,0.011,-0.022,-0.051,0.001,-0.031,0.001,-0.031,-0.051,0,-0.03,0,-0.03,-0.047,0,-0.031,0,-0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1,1.5,0,0,1,TRUE,0.022,0.018,-0.002,0.018,-0.02,-0.048,0.014,-0.009,0.014,-0.024,-0.041,0.014,-0.009,0.014,-0.023,-0.039,0.014,-0.009,0.014,-0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1,1.5,0,0,1,TRUE,0.013,0.003,0.012,0.003,0.009,-0.059,-0.001,0.005,-0.001,0.006,-0.052,-0.001,0.006,-0.001,0.007,-0.051,-0.001,0.006,-0.001,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1,1.5,0,0,1,TRUE,0.011,0.055,0.103,0.055,0.048,-0.694,0.028,0.059,0.028,0.031,-0.695,0.029,0.059,0.029,0.03,-0.695,0.029,0.059,0.029,0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1,1.5,0,0,1,TRUE,-0.009,0.022,0.031,0.022,0.009,-0.688,0.008,0.009,0.008,0.001,-0.684,0.008,0.009,0.008,0.001,-0.691,0.008,0.008,0.008,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1,1.5,0,0,1,TRUE,0.001,0.009,0.023,0.009,0.014,-0.69,0.004,0.014,0.004,0.01,-0.69,0.004,0.015,0.004,0.011,-0.69,0.004,0.014,0.004,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1,1.5,0,0,1,TRUE,-0.006,0.002,0.006,0.002,0.005,-0.696,-0.001,0.001,-0.001,0.003,-0.693,-0.001,0.002,-0.001,0.003,-0.7,-0.001,0.001,-0.001,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.013,0.011,-0.016,0.011,-0.027,0.013,0.01,-0.016,0.01,-0.026,0.013,0.011,-0.016,0.011,-0.027,0.011,0.012,-0.016,0.012,-0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,-0.013,-0.011,-0.017,-0.011,-0.005,-0.013,-0.011,-0.017,-0.011,-0.006,-0.016,-0.011,-0.017,-0.011,-0.006,-0.012,-0.011,-0.017,-0.011,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.001,0.001,-0.023,0.001,-0.024,0.001,0,-0.023,0,-0.024,0.004,0,-0.023,0,-0.024,0.001,0,-0.023,0,-0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,1,1.5,0,0,1,TRUE,0,0,-0.013,0,-0.013,0,0.001,-0.013,0.001,-0.013,-0.001,0.001,-0.013,0.001,-0.013,-0.002,0,-0.013,0,-0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.003,-0.001,0.003,-0.001,0.005,0.003,-0.001,0.003,-0.001,0.005,0.001,-0.002,0.004,-0.002,0.005,-0.008,-0.001,0.003,-0.001,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,-0.002,-0.001,-0.003,-0.001,-0.001,-0.002,-0.001,-0.003,-0.001,-0.002,-0.005,-0.002,-0.003,-0.002,-0.001,0.006,-0.001,-0.003,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,0.003,0.002,0.005,0.002,0.002,0.003,0.002,0.005,0.002,0.002,0.002,0.002,0.005,0.002,0.002,-0.001,0.002,0.005,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,TRUE,-0.001,-0.002,0,-0.002,0.001,-0.001,-0.002,0,-0.002,0.001,0,-0.002,0,-0.002,0.001,0.006,-0.001,0,-0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.094,0.04,0.031,0.04,-0.009,-0.109,0.021,0.009,0.021,-0.013,-0.112,0.021,0.009,0.021,-0.012,-0.102,0.026,0.008,0.026,-0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.058,-0.003,0.051,-0.003,0.054,-0.142,-0.015,0.03,-0.015,0.046,-0.141,-0.013,0.031,-0.013,0.043,-0.135,-0.013,0.031,-0.013,0.043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.053,0.012,-0.032,0.012,-0.044,-0.13,0.009,-0.039,0.009,-0.048,-0.126,0.009,-0.039,0.009,-0.048,-0.119,0.008,-0.039,0.008,-0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,1,1.5,0,0,1,TRUE,0.039,-0.004,-0.009,-0.004,-0.005,-0.147,-0.007,-0.014,-0.007,-0.007,-0.138,-0.007,-0.014,-0.007,-0.007,-0.137,-0.007,-0.014,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.108,0.159,0.208,0.159,0.049,-1.171,0.121,0.15,0.121,0.029,-1.172,0.113,0.141,0.113,0.027,-1.175,0.112,0.138,0.112,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.213,0.063,0.076,0.063,0.014,-1.187,0.038,0.037,0.038,-0.001,-1.185,0.037,0.036,0.037,-0.001,-1.193,0.037,0.036,0.037,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.034,0.027,0.027,0.027,0,-1.183,0.021,0.017,0.021,-0.004,58029031118898.9,0.02,0.017,0.02,-0.003,-1.183,0.021,0.017,0.021,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,1,1.5,0,0,1,TRUE,-0.048,0.012,0.032,0.012,0.02,-1.188,0.006,0.021,0.006,0.015,29815851734895.5,0.006,0.021,0.006,0.015,-1.187,0.006,0.021,0.006,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.003,-0.002,0.042,-0.002,0.044,0.003,-0.002,0.042,-0.002,0.044,-0.005,-0.002,0.042,-0.002,0.044,0.008,-0.001,0.042,-0.001,0.043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.002,-0.006,0.01,-0.006,0.015,0.002,-0.006,0.01,-0.006,0.016,0.014,-0.006,0.01,-0.006,0.016,0,-0.006,0.01,-0.006,0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.003,0.004,-0.006,0.004,-0.01,0.003,0.004,-0.006,0.004,-0.01,0.002,0.004,-0.006,0.004,-0.01,0.007,0.004,-0.006,0.004,-0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.007,0.004,-0.01,0.004,-0.015,0.007,0.004,-0.01,0.004,-0.015,0.007,0.004,-0.01,0.004,-0.015,0.006,0.004,-0.01,0.004,-0.015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,TRUE,-0.004,-0.003,-0.002,-0.003,0.002,-0.004,-0.004,-0.002,-0.004,0.002,-0.005,-0.004,-0.002,-0.004,0.002,0.011,-0.003,-0.002,-0.003,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,1,1.5,0,0,1,TRUE,0.003,0.003,0.001,0.003,-0.003,0.003,0.003,0.001,0.003,-0.002,0.001,0.004,0.001,0.004,-0.003,0,0.003,0.001,0.003,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,1,1.5,0,0,1,TRUE,0,0,0,0,0.001,0,0,0,0,0.001,-0.001,0,0,0,0.001,0.01,0,0,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
